db_id,sample_id,target_complexity,question,target,no_bos_pred,with_bos_pred,vt,ba,BO_complexity
retails,6798,7,What percentage of customers engaged in the household segment are from Iran?,"SELECT CAST(SUM(IIF(T2.n_name = 'IRAN', 1, 0)) AS REAL) * 100 / COUNT(T2.n_name) FROM customer AS T1 INNER JOIN nation AS T2 ON T1.c_nationkey = T2.n_nationkey WHERE T1.c_mktsegment = 'HOUSEHOLD'",SELECT (COUNT(CASE WHEN n.n_name = 'IRAN' THEN 1 END) * 100.0 / COUNT(*)) AS percentage FROM customer c JOIN nation n ON c.c_nationkey = n.n_nationkey WHERE c.c_mktsegment = 'HOUSEHOLD';,SELECT CAST(COUNT(*) AS FLOAT) / (SELECT COUNT(*) FROM customer WHERE c_mktsegment = 'HOUSEHOLD') * 100 AS percentage FROM customer INNER JOIN nation ON customer.c_nationkey = nation.n_nationkey WHERE customer.c_mktsegment = 'HOUSEHOLD' AND nation.n_name = 'IRAN',SELECT CAST(SUM(CASE WHEN customer.c_mktsegment = '[placeholder-type:string]' THEN [placeholder-type:numeric] ELSE [placeholder-type:numeric] END) AS FLOAT) * [placeholder-type:numeric] / COUNT(customer.c_name) FROM customer INNER JOIN nation AS T2 ON T1.c_nationkey = T2.n_nationkey WHERE nation.n_name = '[placeholder-type:string]',"The virtual table calculates a weighted average of a specific metric for customers belonging to a certain market segment and nation. It sums up a conditional value based on the market segment and divides it by the count of customer names, applying a multiplier to the result. The placeholders represent the market segment, the numeric values for the calculation, and the nation name.",8
retails,6890,7,"What is the biggest discount among all orders for the part ""burnished seashell gainsboro navajo chocolate""?",SELECT MAX(T1.l_discount) FROM lineitem AS T1 INNER JOIN part AS T2 ON T1.l_partkey = T2.p_partkey WHERE T2.p_name = 'burnished seashell gainsboro navajo chocolate',SELECT MAX(l_discount) FROM lineitem JOIN part ON lineitem.l_partkey = part.p_partkey WHERE part.p_name = 'burnished seashell gainsboro navajo chocolate',SELECT MAX(l_extendedprice * (1 - l_discount)) AS max_discount FROM lineitem JOIN part ON lineitem.l_partkey = part.p_partkey WHERE part.p_name = 'burnished seashell gainsboro navajo chocolate',SELECT part.p_name FROM part WHERE part.p_retailprice = (SELECT MAX(part.p_retailprice) FROM part),"The virtual table describes the name of the part from the 'part' table that has the highest retail price. The subquery is used to find the maximum retail price among all parts, and the placeholder represents this maximum value.",9
retails,6859,6,How many parts have a retail price of over 1900?,SELECT COUNT(p_partkey) FROM part WHERE p_retailprice > 1900,SELECT COUNT(*) FROM part WHERE p_retailprice > 1900;,SELECT COUNT(*) FROM part WHERE p_retailprice > 1900.8,SELECT SUM(partsupp.ps_availqty) FROM partsupp INNER JOIN part AS T2 ON T1.ps_partkey = T2.p_partkey WHERE part.p_name = '[placeholder-type:string]',"The virtual table summarizes the total available quantity of parts from the 'partsupp' table, filtered by the name of the part from the 'part' table. The placeholder in the WHERE clause represents the specific name of the part being queried.",7
language_corpus,5725,6,How many total occurrences are there in the three-letter words?,SELECT SUM(occurrences) FROM words WHERE LENGTH(word) = 3,SELECT SUM(occurrences) FROM words WHERE LENGTH(word) = 3;,SELECT SUM(pages_words.occurrences) FROM words INNER JOIN pages_words ON words.wid = pages_words.wid WHERE LENGTH(words.word) = 3,SELECT SUM(pages.words) FROM words INNER JOIN pages_words AS T2 ON T1.wid = T2.wid INNER JOIN pages AS T3 ON T2.pid = T3.pid WHERE words.word = '[placeholder-type:string]' AND pages_words.occurrences = [placeholder-type:numeric],"The virtual table calculates the total number of words from the 'pages' table that are associated with a specific word from the 'words' table. It uses inner joins to connect the 'words', 'pages_words', and 'pages' tables, filtering results based on a specific word and the occurrences of that word in the pages.",9
talkingdata,1104,6,What is the age of the youngest female user of the app?,SELECT MIN(age) FROM gender_age WHERE gender = 'F',SELECT MIN(age) AS youngest_female_age FROM gender_age WHERE gender = 'F';,SELECT MIN(gender_age.age) FROM gender_age INNER JOIN phone_brand_device_model2 ON gender_age.device_id = phone_brand_device_model2.device_id WHERE gender_age.gender = 'F',SELECT gender_age.age FROM phone_brand_device_model2 INNER JOIN gender_age AS T2 ON T2.device_id = T1.device_id WHERE phone_brand_device_model2.device_model = '[placeholder-type:string]',"The virtual table retrieves the age of users based on their device model from the 'phone_brand_device_model2' and 'gender_age' tables. It uses an inner join to connect these tables through the 'device_id', ensuring that only relevant records are selected. The placeholder in the WHERE clause allows for filtering by a specific device model.",7
talkingdata,1071,7,How many app IDs were included under science fiction category?,SELECT COUNT(T2.app_id) FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T2.label_id = T1.label_id WHERE T1.category = 'science fiction',SELECT COUNT(DISTINCT al.app_id) FROM app_labels al JOIN label_categories lc ON al.label_id = lc.label_id WHERE lc.category = 'science fiction';,SELECT COUNT(app_labels.app_id) FROM label_categories INNER JOIN app_labels AS T2 ON label_categories.label_id = T2.label_id WHERE label_categories.category = 'science fiction',SELECT COUNT(app_labels.app_id) FROM label_categories INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id WHERE label_categories.category = '[placeholder-type:string]',The virtual table counts the number of app users associated with a specific label category from the 'label_categories' and 'app_labels' tables. The placeholder in the WHERE clause represents the category of the label being queried.,7
codebase_comments,649,7,"Please list the names of methods with the solution path ""wallerdev_htmlsharp\HtmlSharp.sln"".",SELECT T2.Name FROM Solution AS T1 INNER JOIN Method AS T2 ON T1.Id = T2.SolutionId WHERE T1.Path = 'wallerdev_htmlsharpHtmlSharp.sln',SELECT method.name FROM method JOIN solution ON method.solutionid = solution.id WHERE solution.path = 'wallerdev_htmlsharp\\HtmlSharp.sln';,SELECT DISTINCT method.name FROM solution INNER JOIN method ON solution.id = method.solutionid WHERE solution.path = 'wallerdev_htmlsharp\HtmlSharp.sln',SELECT DISTINCT method.nametokenized FROM solution INNER JOIN Method AS T2 ON T1.Id = T2.SolutionId WHERE solution.path = '[placeholder-type:string]',The virtual table describes the distinct tokenized names of methods from the 'method' table that are associated with a specific solution path in the 'solution' table. The placeholder in the WHERE clause represents the path of the solution being queried.,8
chicago_crime,8604,6,"Among the crimes in all the districts in Chicago, what is the percentage of them happening in the Central district?",SELECT CAST(SUM(CASE WHEN T2.district_name = 'Central' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.case_number) FROM Crime AS T1 INNER JOIN District AS T2 ON T1.district_no = T2.district_no,SELECT (COUNT(CASE WHEN d.district_name = 'Central' THEN 1 END) * 100.0 / COUNT(*)) AS percentage_of_crimes_in_central FROM crime c JOIN district d ON c.district_no = d.district_no;,SELECT CAST(COUNT(CASE WHEN fbi_code.title = 'Central' THEN crime.report_no END) AS FLOAT) * 100 / COUNT(crime.report_no) AS percentage FROM community_area INNER JOIN crime ON crime.community_area_no = community_area.community_area_no INNER JOIN fbi_code ON fbi_code.fbi_code_no = crime.fbi_code_no WHERE community_area.side = 'Central',SELECT CAST(COUNT(CASE WHEN fbi_code.title = '[placeholder-type:string]' THEN crime.report_no END) AS FLOAT) * [placeholder-type:numeric] / COUNT(crime.report_no) FROM community_area INNER JOIN Crime AS T2 ON T2.community_area_no = T1.community_area_no INNER JOIN FBI_Code AS T3 ON T3.fbi_code_no = T2.fbi_code_no WHERE community_area.side = '[placeholder-type:string]',"The virtual table calculates the proportion of specific crime reports in a given community area, adjusted by a numeric factor. It counts the number of reports that match a specified FBI crime title and divides it by the total number of crime reports in that community area, then multiplies the result by a numeric placeholder. The query filters the results based on the district side of the community area.",9
music_platform_2,7986,7,"What is the average rating of the podcast ""Please Excuse My Dead Aunt Sally""?",SELECT AVG(T2.rating) FROM podcasts AS T1 INNER JOIN reviews AS T2 ON T2.podcast_id = T1.podcast_id WHERE T1.title = 'Please Excuse My Dead Aunt Sally',SELECT AVG(rating) AS average_rating FROM reviews r JOIN podcasts p ON r.podcast_id = p.podcast_id WHERE p.title = 'Please Excuse My Dead Aunt Sally';,SELECT AVG(reviews.rating) FROM podcasts INNER JOIN reviews AS T2 ON T2.podcast_id = podcasts.podcast_id WHERE podcasts.title = 'Please Excuse My Dead Aunt Sally',SELECT AVG(reviews.rating) FROM podcasts INNER JOIN reviews AS T2 ON T2.podcast_id = T1.podcast_id WHERE podcasts.title = '[placeholder-type:string]',The virtual table calculates the average rating of a specific podcast from the 'podcasts' table by joining it with the 'reviews' table. The placeholder in the WHERE clause represents the title of the podcast for which the average rating is being calculated.,7
world_development_indicators,2242,7,"How many countries have notes on the indicator Stocks traded, turnover ratio of domestic shares?","SELECT COUNT(T1.Countrycode)  FROM CountryNotes AS T1 INNER JOIN Series AS T2 ON T1.Seriescode = T2.SeriesCode WHERE T2.IndicatorName = 'Stocks traded, turnover ratio of domestic shares (%)'","SELECT COUNT(DISTINCT country.countrycode) FROM country JOIN countrynotes ON country.countrycode = countrynotes.countrycode JOIN indicators ON countrynotes.seriescode = indicators.indicatorcode WHERE indicators.indicatorname = 'Stocks traded, turnover ratio of domestic shares (%)';","SELECT COUNT(country.countrycode) FROM country INNER JOIN indicators ON country.countrycode = indicators.countrycode WHERE indicators.indicatorname = 'Stocks traded, turnover ratio of domestic shares (%)'",SELECT COUNT(country.countrycode) FROM country INNER JOIN Indicators AS T2 ON T1.CountryCode = T2.CountryCode WHERE indicators.indicatorname = '[placeholder-type:string]' AND country.externaldebtreportingstatus = '[placeholder-type:string]' AND indicators.value > [placeholder-type:numeric],"The virtual table counts the number of countries from the 'country' table that have a specific indicator name, a defined external debt reporting status, and an indicator value greater than a specified numeric threshold. The placeholders in the WHERE clause represent the indicator name, the external debt reporting status, and the numeric value for filtering the results.",10
