db_id,sample_id,target_complexity,question,target,no_bos_pred,with_bos_pred,vt,ba,BO_complexity
retails,6831,26,What is the region with the most customers?,"SELECT T.r_name FROM ( SELECT T3.r_name, COUNT(T2.c_custkey) AS num FROM nation AS T1 INNER JOIN customer AS T2 ON T1.n_nationkey = T2.c_nationkey INNER JOIN region AS T3 ON T1.n_regionkey = T3.r_regionkey GROUP BY T3.r_name ) AS T ORDER BY T.num DESC LIMIT 1","SELECT n_regionkey, COUNT(c_custkey) AS customer_count FROM customer JOIN nation ON customer.c_nationkey = nation.n_nationkey GROUP BY n_regionkey ORDER BY customer_count DESC LIMIT 1;",SELECT region.r_name FROM region INNER JOIN nation ON region.r_regionkey = nation.n_regionkey INNER JOIN customer ON nation.n_nationkey = customer.c_nationkey GROUP BY region.r_name ORDER BY COUNT(customer.c_custkey) DESC LIMIT 1,SELECT COUNT(region.r_regionkey) FROM region INNER JOIN nation AS T2 ON T1.r_regionkey = T2.n_regionkey INNER JOIN supplier AS T3 ON T2.n_nationkey = T3.s_nationkey WHERE region.r_name = '[placeholder-type:string]',The virtual table counts the number of regions from the 'region' table that are associated with suppliers from the 'supplier' table through the 'nation' table. The placeholder in the WHERE clause represents the name of the region being queried.,8
language_corpus,5760,13,"How many times that the word pair of ""barcelona"" and ""precolombina"" occur?",SELECT SUM(occurrences) FROM biwords WHERE w1st = ( SELECT wid FROM words WHERE word = 'barcelona' ) AND w2nd = ( SELECT wid FROM words WHERE word = 'precolombina' ),SELECT occurrences FROM biwords WHERE w1st = (SELECT wid FROM words WHERE word = 'barcelona' LIMIT 1) AND w2nd = (SELECT wid FROM words WHERE word = 'precolombina' LIMIT 1) AND lid = 1;,SELECT SUM(biwords.occurrences) FROM biwords INNER JOIN words AS w1 ON biwords.w1st = w1.wid INNER JOIN words AS w2 ON biwords.w2nd = w2.wid WHERE w1.word = 'barcelona' AND w2.word = 'precolombina',SELECT SUM(biwords.occurrences) FROM words INNER JOIN biwords AS T2 ON T1.wid = T2.w1st OR T1.wid = T2.w2nd WHERE biwords.w1st IN ((SELECT words.wid FROM words WHERE word = 'nombre') OR biwords.w2nd IN (SELECT words.wid FROM words WHERE word = 'nombre')),"The virtual table calculates the total occurrences of biword pairs that include a specific word from the 'words' table. It does this by joining the 'words' table with the 'biwords' table, checking for occurrences where the first or second word in the biword pair matches the specified word. The result is a sum of all occurrences of these biword pairs.",13
synthea,1400,12,What is the most common condition among the patients who received influenza seasonal injectable preservative free immunization?,SELECT T2.DESCRIPTION FROM immunizations AS T1 INNER JOIN conditions AS T2 ON T1.patient = T2.PATIENT WHERE T1.DESCRIPTION = 'Influenza  seasonal  injectable  preservative free' GROUP BY T2.DESCRIPTION ORDER BY COUNT(T2.DESCRIPTION) DESC LIMIT 1,"SELECT conditions.description, COUNT(conditions.description) AS condition_count FROM patients JOIN immunizations ON patients.patient = immunizations.patient JOIN conditions ON patients.patient = conditions.patient WHERE immunizations.description = 'Influenza  seasonal  injectable  preservative free' GROUP BY conditions.description ORDER BY condition_count DESC LIMIT 1;",SELECT conditions.description FROM patients INNER JOIN immunizations ON patients.patient = immunizations.patient INNER JOIN conditions ON patients.patient = conditions.patient WHERE immunizations.description = 'Influenza  seasonal  injectable  preservative free' GROUP BY conditions.description ORDER BY COUNT(conditions.description) DESC LIMIT 1,SELECT patients.patient FROM patients INNER JOIN conditions AS T2 ON T1.patient = T2.PATIENT INNER JOIN all_prevalences AS T3 ON T3.ITEM = T2.DESCRIPTION ORDER BY all_prevalences.occurrences LIMIT [placeholder-type:numeric],"The virtual table lists unique patient identifiers from the 'patients' table who have conditions that match prevalent diseases recorded in the 'all_prevalences' table. The results are filtered to include only those patients with specific conditions, and they are ordered by the number of occurrences of these conditions, with a limit on the number of results returned.",9
talkingdata,1053,23,What is the gender of the majority of Vivo phone users?,"SELECT T.gender FROM ( SELECT T2.gender, COUNT(T2.gender) AS num FROM phone_brand_device_model2 AS T1 INNER JOIN gender_age AS T2 ON T2.device_id = T1.device_id WHERE T1.phone_brand = 'vivo' GROUP BY T2.gender ) AS T ORDER BY T.num DESC LIMIT 1","SELECT gender, COUNT(*) as count FROM gender_age INNER JOIN phone_brand_device_model2 ON gender_age.device_id = phone_brand_device_model2.device_id WHERE phone_brand = 'vivo' GROUP BY gender ORDER BY count DESC LIMIT 1;",SELECT CASE WHEN SUM(CASE WHEN gender_age.gender = 'M' THEN 1 ELSE 0 END) > SUM(CASE WHEN gender_age.gender = 'F' THEN 1 ELSE 0 END) THEN 'M' ELSE 'F' END AS majority_gender FROM phone_brand_device_model2 INNER JOIN gender_age ON gender_age.device_id = phone_brand_device_model2.device_id WHERE phone_brand_device_model2.phone_brand = 'vivo',"SELECT SUM(CASE WHEN gender_age.gender = '[placeholder-type:string]' THEN [placeholder-type:numeric] ELSE [placeholder-type:numeric] END) * [placeholder-type:numeric] / COUNT(gender_age.device_id), SUM(CASE WHEN gender_age.gender = '[placeholder-type:string]' THEN [placeholder-type:numeric] ELSE [placeholder-type:numeric] END) * [placeholder-type:numeric] / COUNT(gender_age.device_id) FROM phone_brand_device_model2 INNER JOIN gender_age AS T2 ON T2.device_id = T1.device_id WHERE phone_brand_device_model2.phone_brand = '[placeholder-type:string]'","The virtual table calculates the weighted average of two numeric values based on the gender of users associated with specific devices. It aggregates data from the 'phone_brand_device_model2' and 'gender_age' tables, filtering results by a specified phone brand. The placeholders represent the gender, numeric values for calculations, and the phone brand to filter the results.",8
simpson_episodes,4225,16,"Mention the episode ID, title and any three keywords of the episode which get the most number of votes in star classification of worst.","SELECT DISTINCT T3.episode_id, T2.title, T1.keyword FROM Keyword AS T1 INNER JOIN Episode AS T2 ON T1.episode_id = T2.episode_id INNER JOIN Vote AS T3 ON T2.episode_id = T3.episode_id WHERE T3.stars = 1 ORDER BY T3.votes DESC LIMIT 3;","SELECT e.episode_id, e.title, k.keyword FROM episode e JOIN vote v ON e.episode_id = v.episode_id JOIN keyword k ON e.episode_id = k.episode_id WHERE v.stars = 1 LIMIT 3;","SELECT episode.episode_id, episode.title, keyword.keyword FROM episode INNER JOIN vote ON episode.episode_id = vote.episode_id INNER JOIN keyword ON episode.episode_id = keyword.episode_id WHERE vote.stars <= 5 ORDER BY vote.votes DESC LIMIT 3",SELECT episode.title FROM episode INNER JOIN Vote AS T2 ON T2.episode_id = T1.episode_id WHERE vote.votes > [placeholder-type:numeric] AND vote.stars = [placeholder-type:numeric],The virtual table describes the titles of episodes from the 'episode' table that have received a certain number of votes and a specific star rating. The placeholders in the WHERE clause represent the minimum number of votes and the exact star rating to filter the results.,9
california_schools,9465,14,"What is the average math score of the school with the lowest average score for all subjects, and in which county is it located?","SELECT T1.AvgScrMath, T2.County FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath IS NOT NULL ORDER BY T1.AvgScrMath + T1.AvgScrRead + T1.AvgScrWrite ASC LIMIT 1","SELECT frpm.cname, AVG(satscores.avgscrmath) AS average_math_score FROM satscores JOIN frpm ON satscores.cds = frpm.cdscode GROUP BY satscores.sname ORDER BY (AVG(satscores.avgscrread) + AVG(satscores.avgscrmath) + AVG(satscores.avgscrwrite)) ASC LIMIT 1;","SELECT schools.county, satscores.avgscrmath FROM satscores INNER JOIN schools ON satscores.cds = schools.cdscode WHERE (satscores.avgscrread + satscores.avgscrmath + satscores.avgscrwrite) = (SELECT MIN((satscores.avgscrread + satscores.avgscrmath + satscores.avgscrwrite)) FROM satscores INNER JOIN schools ON satscores.cds = schools.cdscode)",SELECT COUNT(satscores.cds) FROM satscores INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE schools.mailcity = '[placeholder-type:string]' AND (satscores.avgscrread + satscores.avgscrmath + satscores.avgscrwrite) >= [placeholder-type:numeric],"The virtual table counts the number of SAT scores from the 'satscores' table for schools located in a specific city, where the average scores in Reading, Math, and Writing meet or exceed a specified threshold. It joins the 'satscores' table with the 'schools' table based on the CDSCode to filter the results by the city name and the combined average scores.",9
mental_health_survey,4603,12,"What was the most common answer for the question ""What country do you work in?""?",SELECT T1.AnswerText FROM Answer AS T1 INNER JOIN Question AS T2 ON T1.QuestionID = T2.questionid WHERE T2.questiontext = 'What country do you work in?' GROUP BY T1.AnswerText ORDER BY COUNT(T1.AnswerText) DESC LIMIT 1,"SELECT answer.answertext, COUNT(answer.answertext) AS answer_count FROM answer JOIN question ON answer.questionid = question.questionid WHERE question.questiontext = 'What country do you work in?' GROUP BY answer.answertext ORDER BY answer_count DESC LIMIT 1;",SELECT answer.answertext FROM answer INNER JOIN question ON answer.questionid = question.questionid WHERE question.questiontext = 'What country do you work in?' GROUP BY answer.answertext ORDER BY COUNT(answer.answertext) DESC LIMIT 1,SELECT answer.answertext FROM answer INNER JOIN Question AS T2 ON T1.QuestionID = T2.questionid WHERE question.questionid = [placeholder-type:numeric] AND answer.answertext = '[placeholder-type:string]',The virtual table retrieves specific answers from the 'answer' table based on a given question ID and answer text. It joins the 'answer' table with the 'question' table to ensure that the answers correspond to the correct questions.,8
chicago_crime,8611,12,Which district had the most number of first degree murders? Give the district number.,SELECT T2.district_no FROM IUCR AS T1 INNER JOIN Crime AS T2 ON T1.iucr_no = T2.iucr_no WHERE T1.secondary_description = 'FIRST DEGREE MURDER' GROUP BY T2.district_no ORDER BY COUNT(*) DESC LIMIT 1,SELECT district_no FROM district INNER JOIN crime ON district.district_no = crime.district_no WHERE crime.fbi_code_no = 'MURDER_CODE' GROUP BY district_no ORDER BY COUNT(*) DESC LIMIT 1;,SELECT district.district_no FROM crime INNER JOIN iucr ON crime.iucr_no = iucr.iucr_no INNER JOIN district ON crime.district_no = district.district_no WHERE iucr.primary_description = 'HOMICIDE' AND iucr.secondary_description = 'FIRST DEGREE MURDER' GROUP BY district.district_no ORDER BY COUNT(*) DESC LIMIT 1,SELECT district.district_name FROM iucr INNER JOIN Crime AS T2 ON T2.iucr_no = T1.iucr_no INNER JOIN District AS T3 ON T3.district_no = T2.district_no WHERE iucr.primary_description = '[placeholder-type:string]' GROUP BY district.district_name ORDER BY COUNT(iucr.primary_description) LIMIT [placeholder-type:numeric],"The virtual table provides a list of district names from the 'district' table based on the classification of crimes recorded in the 'iucr' table. It filters the results by a specific primary description of the crime, allowing users to see which districts have reported incidents of that type. The results are grouped by district name and ordered by the count of incidents, with a limit on the number of districts returned.",13
world_development_indicators,2230,14,What is the average number of passengers carried via air transport per year by Bulgaria between 1970 to 1980? Indicate the country's system of trade.,"SELECT AVG(T1.Value), T2.SystemOfTrade FROM Indicators AS T1 INNER JOIN Country AS T2 ON T1.CountryCode = T2.CountryCode WHERE T1.IndicatorName = 'Air transport, passengers carried' AND T1.Year >= 1970 AND T1.Year < 1981 AND T1.CountryName = 'Bulgaria'","SELECT AVG(value) AS average_passengers, country.systemoftrade FROM indicators INNER JOIN country ON indicators.countrycode = country.countrycode WHERE indicators.indicatorname = 'Air transport, passengers carried' AND indicators.countrycode = 'Bulgaria' AND indicators.year BETWEEN 1970 AND 1980;","SELECT CAST(SUM(indicators.value) AS FLOAT) / COUNT(indicators.year) AS average_passengers, country.systemoftrade FROM country INNER JOIN indicators ON country.countrycode = indicators.countrycode WHERE country.alpha2code = 'BG' AND indicators.year BETWEEN '1970' AND '1980' AND indicators.indicatorname = 'Air transport, passengers carried' GROUP BY country.systemoftrade",SELECT CAST(SUM(indicators.value) AS FLOAT) * [placeholder-type:numeric] / COUNT(indicators.year) FROM country INNER JOIN Indicators AS T2 ON T1.CountryCode = T2.CountryCode WHERE country.alpha2code = '[placeholder-type:string]' AND indicators.indicatorname = '[placeholder-type:string]',"The virtual table calculates the average value of a specific indicator for a country identified by its alpha-2 code. It sums up the values from the 'indicators' table, casts the sum to a float, and then divides it by the count of years for that indicator. The placeholders represent the alpha-2 code of the country and the name of the indicator.",9
debit_card_specializing,10910,14,Who among KAM's customers consumed the most? How much did it consume?,"SELECT T2.CustomerID, SUM(T2.Consumption) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'KAM' GROUP BY T2.CustomerID ORDER BY SUM(T2.Consumption) DESC LIMIT 1","SELECT c.customerid, SUM(t.amount) AS total_consumption FROM customers c JOIN transactions_1k t ON c.customerid = t.customerid WHERE c.segment = 'KAM' GROUP BY c.customerid ORDER BY total_consumption DESC LIMIT 1;","SELECT customers.customerid, SUM(yearmonth.consumption) AS total_consumption FROM customers INNER JOIN yearmonth ON customers.customerid = yearmonth.customerid WHERE customers.segment = 'KAM' GROUP BY customers.customerid ORDER BY total_consumption DESC LIMIT 1",SELECT customers.customerid FROM customers INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE yearmonth.date = '[placeholder-type:string]' AND customers.segment = '[placeholder-type:string]' GROUP BY customers.customerid ORDER BY SUM(yearmonth.consumption) LIMIT [placeholder-type:numeric],"The virtual table retrieves the unique customer IDs from the 'customers' table who belong to a specific segment and have consumption data for a given date. The results are grouped by customer ID and ordered by the total consumption, with a limit on the number of results returned.",13
